Source,Target,Type
2,3,Undirected
2,4,Undirected
2,5,Undirected
3,4,Undirected
3,5,Undirected
4,5,Undirected
6,7,Undirected
6,8,Undirected
6,9,Undirected
7,8,Undirected
7,9,Undirected
8,9,Undirected
10,11,Undirected
10,12,Undirected
10,13,Undirected
11,12,Undirected
11,13,Undirected
12,13,Undirected
14,15,Undirected
14,16,Undirected
14,17,Undirected
15,16,Undirected
15,17,Undirected
16,17,Undirected
18,19,Undirected
18,20,Undirected
18,21,Undirected
19,20,Undirected
19,21,Undirected
20,21,Undirected
22,23,Undirected
22,24,Undirected
22,25,Undirected
23,24,Undirected
23,25,Undirected
24,25,Undirected
26,27,Undirected
26,29,Undirected
27,29,Undirected
30,31,Undirected
30,32,Undirected
30,33,Undirected
31,32,Undirected
31,33,Undirected
32,33,Undirected
34,35,Undirected
34,36,Undirected
34,37,Undirected
35,36,Undirected
35,37,Undirected
36,37,Undirected
38,39,Undirected
38,40,Undirected
38,41,Undirected
39,40,Undirected
39,41,Undirected
40,41,Undirected
42,43,Undirected
42,44,Undirected
42,45,Undirected
43,44,Undirected
43,45,Undirected
44,45,Undirected
46,47,Undirected
46,48,Undirected
46,49,Undirected
47,48,Undirected
47,49,Undirected
48,49,Undirected
50,51,Undirected
50,52,Undirected
50,53,Undirected
51,52,Undirected
51,53,Undirected
52,53,Undirected
54,55,Undirected
54,56,Undirected
54,57,Undirected
55,56,Undirected
55,57,Undirected
56,57,Undirected
58,59,Undirected
58,60,Undirected
58,61,Undirected
59,60,Undirected
59,61,Undirected
60,61,Undirected
62,63,Undirected
62,64,Undirected
62,65,Undirected
63,64,Undirected
63,65,Undirected
64,65,Undirected
66,67,Undirected
66,68,Undirected
66,69,Undirected
67,68,Undirected
67,69,Undirected
68,69,Undirected
70,71,Undirected
70,72,Undirected
70,73,Undirected
71,72,Undirected
71,73,Undirected
72,73,Undirected
74,75,Undirected
74,76,Undirected
74,77,Undirected
75,76,Undirected
75,77,Undirected
76,77,Undirected
78,79,Undirected
78,80,Undirected
78,81,Undirected
79,80,Undirected
79,81,Undirected
80,81,Undirected
82,83,Undirected
82,84,Undirected
82,85,Undirected
83,84,Undirected
83,85,Undirected
84,85,Undirected
86,87,Undirected
86,88,Undirected
86,89,Undirected
87,88,Undirected
87,89,Undirected
88,89,Undirected
90,91,Undirected
90,92,Undirected
90,93,Undirected
91,92,Undirected
91,93,Undirected
92,93,Undirected
94,95,Undirected
94,96,Undirected
94,97,Undirected
95,96,Undirected
95,97,Undirected
96,97,Undirected
98,99,Undirected
98,100,Undirected
98,101,Undirected
99,100,Undirected
99,101,Undirected
100,101,Undirected
102,103,Undirected
102,104,Undirected
102,105,Undirected
103,104,Undirected
103,105,Undirected
104,105,Undirected
106,107,Undirected
106,108,Undirected
106,109,Undirected
107,108,Undirected
107,109,Undirected
108,109,Undirected
110,111,Undirected
110,112,Undirected
110,113,Undirected
111,112,Undirected
111,113,Undirected
112,113,Undirected
114,115,Undirected
114,117,Undirected
115,117,Undirected
118,119,Undirected
118,120,Undirected
118,121,Undirected
119,120,Undirected
119,121,Undirected
120,121,Undirected
122,123,Undirected
122,124,Undirected
122,125,Undirected
123,124,Undirected
123,125,Undirected
124,125,Undirected
126,127,Undirected
126,128,Undirected
126,129,Undirected
127,128,Undirected
127,129,Undirected
128,129,Undirected
130,131,Undirected
130,133,Undirected
131,133,Undirected
134,135,Undirected
134,136,Undirected
134,137,Undirected
135,136,Undirected
135,137,Undirected
136,137,Undirected
138,139,Undirected
138,140,Undirected
138,141,Undirected
139,140,Undirected
139,141,Undirected
140,141,Undirected
142,143,Undirected
142,144,Undirected
142,145,Undirected
143,144,Undirected
143,145,Undirected
144,145,Undirected
59,146,Undirected
59,58,Undirected
59,147,Undirected
146,58,Undirected
146,147,Undirected
58,147,Undirected
148,149,Undirected
148,150,Undirected
148,151,Undirected
149,150,Undirected
149,151,Undirected
150,151,Undirected
152,153,Undirected
